title,vendor,category,published,option,option_value,variant_grams,variant_tracker,variant_policy,variant_service,variant_price,variant_require_shipping,variant_taxable,image,image_position,gift,variant_weight_unit
Solution Hydroalcoolique Idéal Solution,le-grandmarche,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,1700.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/Hydro.jpg?v=1589397484,1.0,False,kg
Akpé plus-Pure poivre noir,Akpe plus,Alimentaire,False,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_20.jpg?v=1589399286,1.0,False,kg
Akpé plus-Pure curcuma,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_18.jpg?v=1589399286,1.0,False,kg
Akpé plus-Aklui de maïs au gingembre,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,650.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_14.jpg?v=1589397231,1.0,False,kg
Akpé plus-Super Croquette de gingembre,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_12.jpg?v=1589397492,1.0,False,kg
Akpé plus-Curcuma ail gingembre - 100% Naturel,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1300.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5832.jpg?v=1589397333,1.0,False,kg
Akpé plus-Super Aklui de maïs,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech.jpg?v=1589397490,1.0,False,kg
Akpé plus-Champignon Tchigan,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,800.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5809.jpg?v=1589397309,1.0,False,kg
Afrodisiac-Aklui de sorgho,Apke plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5787.jpg?v=1589397232,1.0,False,kg
Akpé plus-Thé de cannelle,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_9.jpg?v=1589397503,1.0,False,kg
