product_title,product_vendor,product_type,quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Savon Cleopatra,le-grandmarche,hygiène et beauté,2,1694.0,0.0,0.0,1694.0,306.0,2000.0
Crevettes fraîches nettoyées 200g,Comme au Marché,Alimentaire,2,3390.0,0.0,0.0,3390.0,610.0,4000.0
Clou de girofle moulu,le-grandmarche,Alimentaire,2,1695.0,0.0,0.0,1695.0,305.0,2000.0
Bionice - savon gommant Coco 'Range,Ets ZECM NICE,hygiène et beauté,2,1450.0,0.0,0.0,1450.0,260.0,1710.0
"Coffret Ramadan, Panier moyen.",GRAND MARCHÉ,Alimentaire,2,23728.0,-593.0,0.0,23135.0,4165.0,27300.0
Gel maxi control,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,2,31272.0,0.0,-10424.0,20848.0,3752.0,24600.0
PRT20-0008 - Adonis - Eau minéral,Parasel Bio Epice et Traditionnel,Alimentaire,2,2034.0,0.0,0.0,2034.0,366.0,2400.0
COD- Noix de Coco Râpée au Lait Aromatisé - 100g,COD,Alimentaire,2,1441.0,0.0,0.0,1441.0,259.0,1700.0
COD - Concada fondant - 250g,COD,Alimentaire,2,1695.0,0.0,-848.0,847.0,153.0,1000.0
Comme au marché-Crevettes fraîches nettoyées 200g,Comme au Marché,Alimentaire,2,3390.0,0.0,0.0,3390.0,610.0,4000.0
COD - Gingembre Grillé au Sucre - 500g,COD,Alimentaire,2,4238.0,0.0,0.0,4238.0,762.0,5000.0
Bionice - Beurre d'Avocat,Ets ZECM NICE,hygiène et beauté,2,6357.0,0.0,-2119.0,4238.0,762.0,5000.0
Festti - Jus Mangue - 30 cl,AS GREEN SARL,Alimentaire,2,3390.0,0.0,0.0,3390.0,610.0,4000.0
Festti jus de Ananas-petit cola pack de 6,GRAND MARCHÉ,Alimentaire,2,2542.0,0.0,0.0,2542.0,458.0,3000.0
Gari Premium au lait de coco,le-grandmarche,Alimentaire,2,847.0,0.0,0.0,847.0,153.0,1000.0
Vin Bordeaux la vieille église -2017-750 ml,Joachim africa trading et services,Alimentaire,1,7628.0,0.0,-3814.0,3814.0,686.0,4500.0
Comment réussir une négociation. Nouvelle édition - William Ury-Roger Fisher & Bruce Patton - Français,Librairie Delphina,,1,12882.0,0.0,-8475.0,4407.0,793.0,5200.0
Farine de sorgho 1kg,GRAND MARCHÉ,Alimentaire,1,678.0,0.0,0.0,678.0,122.0,800.0
COD- Cajou Moelleux Beurré - 400g,COD,Alimentaire,1,4237.0,0.0,0.0,4237.0,763.0,5000.0
King of Soto- cocktail Bissape- 75cl - 8% d'alcool,GRAND MARCHÉ,Alimentaire,1,1695.0,0.0,0.0,1695.0,305.0,2000.0
Chargeur TOSHIBA 5.5*2.5mm- Alimentation pour ordinateurs portables TOSHIBA - Neuf,Ordi'sol,,1,5085.0,0.0,0.0,5085.0,915.0,6000.0
Comme au marché-Songhai - Confi nature de papaye - 470g,Comme au Marché,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Koro services-Farine Super Gari 1kg,Koros Service,Alimentaire,1,762.0,0.0,-381.0,381.0,69.0,450.0
Shamma - Ensemble boucle d'oreille et pendentif imprimée wax - Femme,Shamma,Pendentif et boucle d'oreille,1,1631.0,0.0,0.0,1631.0,294.0,1925.0
Assiette cueille M1 lot de 6,Vaisselle Bénin,Électroménagers,1,21218.0,0.0,0.0,21218.0,3820.0,25038.0
Bravo délices - Huile de coco,JAD'S Corporate,Alimentaire,1,3813.0,0.0,-1271.0,2542.0,458.0,3000.0
Gingembre en poudre,le-grandmarche,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Origine terre-Après-shampooing solide Aloe Baobab,Origine Terre,hygiène et beauté,1,2119.0,0.0,0.0,2119.0,381.0,2500.0
PRT20-0003 - Penis developpement creme,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,13390.0,0.0,-6441.0,6949.0,1251.0,8200.0
Parfum J’adore Dior,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,16949.0,0.0,0.0,16949.0,3051.0,20000.0
Terra Foods - Caju  Epice Sale - 100g,Terra Foods,Alimentaire,1,1270.0,0.0,0.0,1270.0,230.0,1500.0
Dayélian Gari Premium au lait de coco,le-grandmarche,Alimentaire,1,848.0,0.0,-424.0,424.0,76.0,500.0
Box déjeuner Pack 3 (12 produits),GRAND MARCHÉ,Alimentaire,1,33898.0,0.0,-16949.0,16949.0,3051.0,20000.0
Dayélian Kluiklui d’Agonlin Anis,le-grandmarche,Alimentaire,1,1694.0,0.0,-847.0,847.0,153.0,1000.0
