date,accessoires mode femme,alimentaire,barrettes,beauté et hygiène,bracelets et boucles d'oreille,chaussure pour homme,chaussures femme,chaussures homme,chaussures pour enfants garçon,chaussures pour femme,chaussures pour homme,chemise homme,complet nourrissons,complément alimentaire,ensemble pour homme,hygiène et soins du corps,montres homme,pendentif et boucle d'oreille,petits électroménagers,robe femme,robe pour femme,roman,sac usage mixte,sacs à mains,soins du corps,soins esthétiques,tenue pour homme,thé,électroménagers,e-commerce,country,eventail pour femme,grand électroménager,high tech,hygiène et beauté,hygiène et ménage
2020-05-03,0,29,0,0,0,0.0,0.0,47.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4,18,0,0,0,0,0,37,0,37,senegal,0.0,0.0,0.0,0.0,0.0
2020-05-10,0,86,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0,29,0,0,0,0,0,37,0,0,senegal,0.0,0.0,37.0,0.0,0.0
2020-05-17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,19,0,19,senegal,0.0,0.0,38.0,0.0,0.0
2020-05-24,0,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,68,0,0,senegal,0.0,0.0,70.0,0.0,0.0
2020-05-31,0,34,0,0,0,0.0,21.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,16,senegal,0.0,0.0,0.0,0.0,0.0
2020-06-07,0,18,0,0,0,0.0,0.0,43.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,23,0,0,0,0,0,34,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-06-14,0,45,0,0,0,0.0,22.0,45.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,17,0,0,senegal,0.0,0.0,36.0,0.0,0.0
2020-06-21,0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,17,0,17,senegal,0.0,0.0,0.0,0.0,0.0
2020-06-28,0,18,0,0,0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,40,0,0,0,0,0,34,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-07-05,0,36,0,0,0,0.0,22.0,22.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,56.0,7,53,0,0,0,0,0,51,0,17,senegal,0.0,0.0,0.0,0.0,0.0
2020-07-12,0,36,0,0,0,0.0,0.0,22.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3,61,0,0,0,0,0,34,0,0,senegal,0.0,0.0,35.0,0.0,0.0
2020-07-19,0,19,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,42,0,0,0,0,0,36,0,18,senegal,0.0,0.0,0.0,0.0,0.0
2020-07-26,0,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,0,0,0,0,0,0,0,22,senegal,0.0,0.0,0.0,0.0,0.0
2020-08-02,0,9,0,0,0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94,0,0,0,0,0,18,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-08-09,0,0,0,0,0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,16,0,0,senegal,0.0,0.0,34.0,0.0,0.0
2020-08-16,0,26,0,0,0,0.0,0.0,42.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61,0,0,0,0,0,65,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-08-23,0,9,0,0,0,0.0,42.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,0,0,senegal,0.0,0.0,33.0,0.0,0.0
2020-08-30,0,25,0,0,0,0.0,21.0,21.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,16,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-09-06,0,17,0,0,0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3,3,0,0,0,0,0,64,0,16,senegal,0.0,0.0,0.0,0.0,0.0
2020-09-13,0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,3,0,0,0,0,0,0,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-09-20,0,43,0,0,0,0.0,21.0,21.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,3,0,0,0,0,0,16,0,16,senegal,0.0,0.0,33.0,0.0,0.0
2020-09-27,0,34,0,0,0,0.0,21.0,21.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,13,0,0,0,0,0,16,0,33,senegal,0.0,0.0,34.0,0.0,0.0
2020-10-04,0,19,0,0,0,0.0,23.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0,0,0,54,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-10-11,0,36,0,0,0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,20,0,0,0,0,0,51,0,17,senegal,0.0,0.0,0.0,0.0,0.0
2020-10-18,0,9,0,0,0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,37.0,0,23,0,0,0,0,0,17,0,0,senegal,0.0,0.0,34.0,0.0,0.0
2020-10-25,0,18,0,0,0,0.0,0.0,22.0,0.0,0.0,0.0,71.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,34,0,0,senegal,0.0,0.0,70.0,0.0,0.0
2020-11-01,0,16,0,0,0,0.0,20.0,20.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,3,6,0,0,0,0,0,31,0,16,senegal,0.0,0.0,0.0,0.0,0.0
2020-11-08,0,27,0,0,0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,13,0,0,0,0,0,51,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-11-15,0,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3,17,0,0,0,0,0,0,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-11-22,0,42,0,0,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,19,0,0,0,0,0,32,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2020-11-29,0,24,0,0,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3,12,0,0,0,0,0,31,0,16,senegal,0.0,0.0,32.0,0.0,0.0
