product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Beurre de karité au citron 350g,le-grandmarche,hygiène et beauté,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Afrijus - Jus de Gingembre à l'Ananas - 30 cl,Afrijus,Alimentaire,1,2542.000,0.000,-1271.000,1271.000,229.000,1500.000
PRT20-0001 - Itel 2173 - Mémoire interne 4MB/ 4MB RAM - Batterie 1000mAh - Double Sim,Pluri Mobile,High tech,1,4661.000,0.000,0.000,4661.000,839.000,5500.000
Terra Foods - Caju Chocolat - 100g,Terra Foods,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
PRT20-0001 -Tecno POP 5 - Système Android 10 - Mémoire interne 16 Go Ram 1 Go - Reconnaissance faciale +Capteur d'empreintes digitales,Pluri Mobile,High tech,1,38136.000,0.000,0.000,38136.000,6864.000,45000.000
COD - Arachide gouteuse - 250g,COD,Alimentaire,1,636.000,0.000,0.000,636.000,114.000,750.000
Gobelet lot de 6,Vaisselle Bénin,Électroménagers,1,22373.000,0.000,0.000,22373.000,4027.000,26400.000
Comme au marché-Wadu wanu - Haricot blanc precuit - 500g,Comme au Marché,Alimentaire,1,423.000,0.000,0.000,423.000,77.000,500.000
Bravo délices - Concentrée de tomate naturelle,JAD'S Corporate,Alimentaire,1,1695.000,0.000,0.000,1695.000,305.000,2000.000
Miel Pur filtré Fortis Familia 50cl,le-grandmarche,Alimentaire,1,1441.000,0.000,0.000,1441.000,259.000,1700.000
Brioca Aklui-Riz-Tapioca à la menthe 100% naturel 230g,Groupe Nare,Alimentaire,1,508.000,0.000,0.000,508.000,92.000,600.000
Afrijus - Poudre de Baobab - 250g,Afrijus,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Infinix Hot 8,Pluri Mobile,High tech,1,50847.000,0.000,0.000,50847.000,9153.000,60000.000
BRIGHT COSMETIC - Savon Dermadose plus - visage - soins anti-acnés - 75g,Arifael,Beauté et hygiène,1,678.000,0.000,0.000,678.000,122.000,800.000
Espace moringa bio et compagnie-Vin de moringa-75 cl,Espace moringa bio et compagnie,Alimentaire,1,2966.000,0.000,0.000,2966.000,534.000,3500.000
Comme au marché-King of Soto- cocktail Bissap- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,1,2119.000,0.000,0.000,2119.000,381.000,2500.000
Sodabi Original Nature 1L,Aphrodisiac,Alimentaire,1,9916.000,0.000,-4958.000,4958.000,892.000,5850.000
Dayélian TOP Nuts Noix de Cajou Beurré,Iridium,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Dem Bio- Mélange Epices - 250 ml,Dem Events & Fils,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Ducray Keracnyl Stop Bouton Fl/100ml,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,5678.000,0.000,0.000,5678.000,1022.000,6700.000
PRT20-0001 -Tecno POP 4 Air- Système Android 10 - Mémoire interne 16 Go Ram 1 Go - Reconnaissance faciale +Capteur d'empreintes digitales,Pluri Mobile,High tech,1,38136.000,0.000,0.000,38136.000,6864.000,45000.000
Afrodisiac - Djanta - Gommage éclat pour la peau,Aphrodisiac,,1,3390.000,0.000,0.000,3390.000,610.000,4000.000
Brioca Aklui-Riz-Tapioca à la citronnelle 100% naturel,le-grandmarche,Alimentaire,1,508.000,0.000,0.000,508.000,92.000,600.000
Savon Cleopatra,Origine Terre,hygiène et beauté,1,847.000,0.000,0.000,847.000,153.000,1000.000
Brioca Aklui-Riz-Tapioca à la menthe 100% naturel,le-grandmarche,Alimentaire,1,508.000,0.000,0.000,508.000,92.000,600.000
Gel hydroalcoolique Godwin,le-grandmarche,hygiène et beauté,1,3813.000,0.000,0.000,3813.000,687.000,4500.000
Green Beauty - Savon veloute de mangue - 100g,Green Beauty,hygiène et beauté,1,1305.000,0.000,0.000,1305.000,235.000,1540.000
Espace moringa bio et compagnie-Vin de moringa-1L,Espace moringa bio et compagnie,Alimentaire,0,2966.000,0.000,-2966.000,0.000,0.000,0.000
Passerelle des PAM - Artemisia annua,GRAND MARCHÉ,,0,0.000,0.000,0.000,0.000,0.000,0.000
Bravo délices - Farine de Soja torréfiée - 1kg,JAD'S Corporate,Alimentaire,0,1695.000,0.000,-1695.000,0.000,0.000,0.000
"Coffret Ramadan, Petit panier.",GRAND MARCHÉ,Alimentaire,0,10169.000,0.000,-10169.000,0.000,0.000,0.000
Talopkemi lot de 6,le-grandmarche,Électroménagers,0,6355.000,-317.000,-6038.000,0.000,0.000,0.000
La secrétaire particulière-Jean PLIYA-Français,Librairie Delphina,,0,11949.000,0.000,-11949.000,0.000,0.000,0.000
O'fil des peches - Lapin frais - 1Kg200,Comme au Marché,Alimentaire,0,7119.000,0.000,-7119.000,0.000,0.000,0.000
Arifael-BRIGHT COSMETIC - Savon Eclat Naturel Hydratant - Visage Propre- 110g,Arifael,Beauté et hygiène,0,678.000,0.000,-678.000,0.000,0.000,0.000
Gel hydroalcoolique Godwin 35ml,le-grandmarche,hygiène et beauté,0,805.000,0.000,-805.000,0.000,0.000,0.000
King of Soto- cocktail Bissape- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,0,1695.000,0.000,-1695.000,0.000,0.000,0.000
"Lumière, Crème visage illuminatrice",Origine Terre,hygiène et beauté,0,3390.000,0.000,-3390.000,0.000,0.000,0.000
COD - Tapioca Soufflé - 200g,COD,Alimentaire,0,2203.000,0.000,-2203.000,0.000,0.000,0.000
Miel Houefa - ½L,Comme au Marché,Alimentaire,0,1271.000,0.000,-1271.000,0.000,0.000,0.000
Boucles d'oreilles Made in togo,Aphrodisiac,,0,10169.000,0.000,-10169.000,0.000,0.000,0.000
Comme au marché-Wadu wanu - Farine de cossette d’igname - 700g,Comme au Marché,Alimentaire,0,1695.000,0.000,-1695.000,0.000,0.000,0.000
Thé de curcuma,le-grandmarche,Alimentaire,0,678.000,0.000,-678.000,0.000,0.000,0.000
Boucles d'oreilles Hossiwa,GRAND MARCHÉ,,0,10169.000,0.000,-10169.000,0.000,0.000,0.000
